##Number of homopolymer repeats:,2
#inserted_bases,total_depth_frw,total_depth_rev,alt_depth_frw,alt_depth_rev,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,1.0,49990.0,0.0,1.0,0.0,41.0,0.0,132.0,0.0,1.0
G,1.0,49990.0,0.0,1.0,0.0,41.0,0.0,126.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,3.0,149955.0,0.0,3.0,0.0,40.3333333333,0.0,8.0,0.0,3.0
##Number of homopolymer repeats:,3
#inserted_bases,total_depth_frw,total_depth_rev,alt_depth_frw,alt_depth_rev,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,49988.0,0.0,3.0,0.0,40.3333333333,0.0,128.0,0.0,1.0
C,2.0,99956.0,0.0,11.0,0.0,37.25,0.0,12.0,0.0,2.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
##Number of homopolymer repeats:,4
#inserted_bases,total_depth_frw,total_depth_rev,alt_depth_frw,alt_depth_rev,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,1.0,49975.0,0.0,12.0,0.0,34.25,0.0,4.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
