##Number of homopolymer repeats:,2
#deleted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,2.00036006481e-05,2.00032005121e-05,0.0,41.0,0.0,67.0,0.0,1.0
G,0.0,0.000820196847243,0.000820180439697,0.0,38.3658536585,0.0,128.0,0.0,1.0
C,0.0,0.00038415058703,0.000384142901159,0.0,38.5213054187,0.0,9.0,0.0,5.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
##Number of homopolymer repeats:,3
#deleted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,6.00300150075e-05,6.00288138306e-05,0.0,34.0,0.0,4.0,0.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
##Number of homopolymer repeats:,4
#deleted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.0,0.000420147051468,0.000420138645753,0.0,37.5375,0.0,92.0,0.0,2.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
