##Number of homopolymer repeats:,2
#inserted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,2.00060018005e-05,2.00044009682e-05,2.00052013524e-05,41.0,41.0,132.0,132.0,1.0,1.0
G,2.00060018005e-05,2.00044009682e-05,2.00052013524e-05,41.0,41.0,126.0,126.0,1.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,2.00096046102e-05,3.99760143914e-05,2.9998200108e-05,38.75,32.75,3.0,6.0,4.0,4.0
##Number of homopolymer repeats:,3
#inserted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,6.00204069384e-05,6.00156040571e-05,6.00180054016e-05,41.0,39.6666666667,128.0,128.0,1.0,1.0
C,0.000110059432093,0.000110050623287,0.000110055027514,38.95,34.95,12.0,12.0,2.0,2.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
##Number of homopolymer repeats:,4
#inserted_bases,phat_PE_frw,phat_PE_rev,phat_merged,alt_qual_frw,alt_qual_rev,alt_pos_in_read_frw,alt_pos_in_read_rev,occurrence_frw,occurrence_rev
T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,0.000240134475306,0.000240110450807,0.000240122462456,35.3333333333,32.8333333333,4.0,4.0,1.0,1.0
C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
